cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,-1.0002358,4.6749096,-0.5412789,9.32921,-5.389558,-1.8650206,-10.755672,0.5985557,0.21518579,-5.849604,-4.957353,-4.5326715,4.527148,8.25462,8.841175,3.977489,1.6358773,11.098411,3.372701,-6.6748805,6.7055683,-0.40304974,4.8179135,-8.945318,-7.685949,2.3738647,10.235331,-7.4545484,-6.874655,6.545299,1.1232549,8.732819,-6.532189,-8.731642,-6.9812098,0.7336294,1.3188691,-1.9459337,-1.4460858,-1.2666566,1.3888958,8.899191,1.5119952,5.339654,-7.4376564,2.3612745,3.7359216,4.3458023,3.4364817,-1.6394844
2,0.33937332,5.9777246,-6.030917,1.2599595,0.2579885,-6.064947,1.0184921,-3.4576414,1.1820192,1.72391,-11.390784,-4.966811,-4.3243227,4.889894,5.6080256,10.135093,1.2339619,8.811197,0.76025444,0.05231028,-4.275117,-1.9179757,-1.438963,-4.4868393,-11.312941,-3.3320866,6.7837143,-3.7115378,2.2765434,1.6233394,-1.82011,-0.08290916,-1.5727671,-5.8213806,-4.5317416,6.0595293,3.3311229,3.5670893,-0.42572853,9.750539,-0.95093405,4.5289826,0.8247499,-6.862183,-3.8648646,-5.0387535,3.0994818,1.3995332,1.6457651,5.6329145
3,-4.5739713,7.8542213,-3.707198,11.429023,-2.9246018,-8.608582,-7.5438643,3.174103,-1.926713,-1.53101,-12.091925,-4.24198,0.7788929,8.740814,11.925891,10.653351,-1.5915557,16.270996,5.3577247,-6.0158963,0.59943557,-1.6825709,-0.5074874,-11.901023,-9.574714,3.8234694,6.635557,-12.563674,-4.188085,-0.20269881,0.91970235,0.35115337,-4.9183583,-7.937727,-6.7961693,2.1350505,-0.7422247,2.2180882,-6.1058607,-3.9393802,-7.483234,10.444388,9.671773,-3.4894502,-8.120438,3.655778,-2.9720018,9.575155,-2.9540431,-3.2036638
4,-5.8451185,7.5601254,-7.066642,3.4037497,-0.0265901,-5.4072437,-8.581652,7.5834365,-1.2668545,-4.9701324,-15.759233,-2.8696952,-1.0291563,5.4016824,11.546765,11.406543,-3.4969192,8.071679,1.111826,-7.271584,-1.034705,10.023842,-5.2075357,-8.303232,-16.28643,-1.5273752,4.854308,-1.9351332,1.6801832,-2.0249636,-2.11097,-1.62404,-10.685281,-6.9995613,-3.4539943,-0.34877473,5.8012285,-2.6177053,-4.4025908,-3.9681435,-6.1066556,8.397188,7.862174,-5.8784027,-9.064018,7.5854597,-0.81672287,4.9734616,-3.5131352,-8.363471
5,-0.5277725,3.806188,-3.2874427,7.2721677,-4.678358,-7.567546,-3.223743,0.5891044,-5.8496766,0.8067271,-1.2785753,-4.6044645,4.211335,8.981332,5.7614913,6.180364,0.2139373,15.357205,2.570183,-11.413133,4.577072,-5.3778996,3.0959623,-0.5369999,-8.881151,7.7990055,8.468554,-2.6688938,-11.331368,10.083236,9.066505,7.346007,-2.2723346,0.4005234,-5.5802927,1.7317289,0.04056156,-6.1897025,-0.025948413,6.1583743,1.9722509,3.0148497,-4.2480283,3.5313356,-1.33408,-0.63059396,10.877709,2.318494,-1.9922006,1.3933394
6,-5.01054,3.1878953,-11.409922,7.5661135,1.422352,-12.964958,-8.3456335,-1.5779662,-9.391939,5.562209,-10.498686,-0.91808724,0.51201886,9.986797,3.726972,12.010187,0.93092835,20.249104,1.007393,-13.103408,-5.476904,-4.466919,-1.3592087,-8.475533,-10.766309,6.90824,2.4274096,-7.133714,-9.186471,2.1754384,10.094056,2.5893602,-5.709266,1.198914,-8.703747,11.027203,-2.5443912,-2.6184447,0.2883912,1.542377,-7.9405756,3.3507779,3.7037246,-7.043064,-6.7370863,-4.327896,3.990552,6.600998,-8.317713,0.20234388
7,4.217032,8.482957,-13.262574,4.405251,-1.8630271,-9.846162,-5.2821846,1.6225482,-6.790645,3.8062785,-11.373706,-7.474231,7.4368243,-0.64159375,3.4524598,10.538879,-0.16683498,16.564127,2.0450644,-15.083384,-9.972484,-7.3614254,-4.3548117,-4.651886,-8.293199,1.0385278,5.1755857,-10.225511,-7.6012564,-5.2439475,8.859911,2.4869628,-1.7470353,-1.4923903,-4.190479,8.156329,0.63569814,0.3762906,-0.3082247,-0.5440705,-16.883093,-2.4637284,8.321289,-10.782739,-2.5590746,-3.5036566,2.6660511,4.2590075,-4.876722,0.9122789
8,-11.272357,9.871106,-2.0273721,5.907782,0.29333884,-7.777097,-2.3420408,4.3381705,4.3115773,-5.279877,-12.442804,-1.3433808,7.9273186,4.0697293,5.0447636,12.974088,-2.6188478,12.845305,3.858802,1.8269913,0.82289517,0.83099717,2.2439284,-3.9737759,-10.043746,-8.645068,14.698132,-5.036199,-4.75988,7.497813,-5.631091,7.5118275,-4.888027,-4.183296,3.8666663,1.2529907,-0.29640585,5.0064087,-2.8206618,0.32466134,0.7511285,13.011491,-4.0425997,5.0602527,-4.687314,3.7804132,-1.2793001,3.9809299,3.4445946,-10.806496
9,1.4761808,9.157367,0.5363937,5.8643756,-4.473494,-3.7439663,0.036473908,2.3023872,3.8931818,-4.085607,-8.692231,-2.7905388,6.4584894,15.563313,5.7287316,0.408308,-6.897501,1.5644097,4.441738,2.4103422,-3.1453705,-0.46914998,-1.5493625,6.2746105,-9.169375,-6.883388,10.232841,-8.5714655,-1.8578031,8.64637,7.1153145,-2.5697148,-7.876185,-9.833071,-1.3593413,-1.7050188,9.063848,3.9519002,3.2357607,7.7954316,3.0777037,8.566004,0.3109458,1.5280818,3.7438772,2.5319617,-0.32221085,1.468945,4.7358665,0.7558528
10,-8.540327,17.072378,-5.3787656,5.2755423,-4.5739264,-6.5973854,-6.2078905,3.0158398,3.6551764,-6.941502,-11.467724,-6.354603,9.843693,6.2110105,2.6367404,11.538764,-4.427896,11.234676,4.2497563,6.26386,1.6275915,3.6893501,0.6383686,-10.513727,-12.879568,-7.5692225,8.15837,-1.1428329,-4.3229203,11.181603,2.4118145,9.053833,-1.4415653,-6.3944397,-1.1472981,1.9934088,5.932409,3.1686335,-1.9346823,-4.8003488,0.34625497,10.510541,-0.46446905,5.841569,-4.359455,2.9972827,8.337305,1.7157828,-2.2700374,-7.2852855
11,8.674051,7.500012,-13.640644,3.7241452,-3.1931968,-8.597338,-5.591901,10.41331,-8.809374,-0.28651375,-13.074633,0.7439472,-1.3396953,7.477701,5.472147,18.799742,-6.68438,12.334381,4.647371,-6.1524715,-4.854485,-2.9425666,4.711799,2.5078526,-8.003146,-5.549626,5.759798,-5.616323,-0.28948647,-4.4139643,8.599795,-3.4560666,-7.689369,0.942966,-5.73296,6.0465636,0.41118437,0.9685877,-0.25320423,3.334488,-5.233532,0.99727196,11.923951,-5.2555614,-7.366637,-1.4235231,-6.056695,1.6113639,-6.39247,-2.827922
12,-5.8835244,3.447836,-8.249241,0.05879187,-6.2257934,-0.07552649,2.6041684,7.878596,-9.153261,4.7979565,-22.507689,1.9058409,-0.23857433,6.6203012,3.4538689,6.172499,-3.1168015,12.759479,9.414732,-9.239966,0.012619637,0.024203653,-6.991993,1.1690785,-13.375553,-12.762254,0.8666028,2.0165055,4.6021194,5.5914226,5.868869,-6.4607563,-18.494646,-6.77439,-3.5984104,0.83516693,-2.9302266,8.627718,-6.338731,-8.604269,-1.4737912,8.930849,9.574562,-2.111039,-9.719558,1.7199235,-7.7242713,-1.0128379,2.550711,-3.2238035
13,1.1576173,6.176419,-4.304886,-3.7760336,-2.5768116,-8.293006,2.5036986,-4.234557,5.2594566,0.11239087,-7.514406,-0.71387076,2.486555,15.1963625,-0.31168675,4.693424,-7.078317,9.439483,6.2256536,-10.43847,-7.7510753,-3.9659803,-2.2866797,6.902873,-6.255079,0.65343064,12.202524,-1.0422785,-2.616024,10.514261,1.7766609,-4.2062364,-9.678241,-0.8233698,-9.987716,11.329802,12.112035,2.6652288,-4.5733542,11.315383,-0.67373604,-6.514935,2.9371502,1.4340873,-0.8569094,4.408362,-5.1856647,-2.238753,4.1480412,-1.0995258
14,-3.7743268,12.605624,-0.14911109,2.4631069,0.30792043,-6.5430665,-9.662145,4.860503,2.9922369,-9.87073,-7.216103,-2.1161919,7.8129444,8.699842,0.6213722,10.506753,-6.395121,6.1953955,12.477092,-0.8072127,1.1997206,1.2900594,-5.6950393,1.2015525,-14.989522,-5.488733,6.2232203,-10.015183,-1.9000516,11.3296795,6.2033343,4.2416925,-11.065209,-2.171063,2.8112671,6.346639,10.21771,2.656499,3.327275,1.9633248,-2.1501842,4.0171194,-0.8328329,9.574742,-4.436287,4.44363,-5.2818565,4.7863493,5.457251,-7.9721546
