,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cell_index
4177,0.8380448,0.21893823,0.730187,0.17872274,-0.28231865,-1.0704272,0.20032087,1.1691779,-0.37579146,-1.7805072,-0.24187355,-0.11298334,-0.20825145,-0.16120118,0.38409582,1.869397,-0.24282135,0.13918844,-0.6498583,0.23195077,1
1344,-0.16254535,0.53743577,0.366128,-0.6078718,-0.61976266,0.14756206,-0.674089,0.9474268,-1.5747187,-1.5924599,-1.3243654,-0.16445096,-0.58287144,0.61675006,-0.55413383,0.95712745,-0.21172106,0.030756515,-0.87192863,0.61120015,2
3613,0.34035477,0.5487729,0.53831524,-0.10127431,-1.0813367,-1.4446871,-0.08581524,0.965406,-0.6222573,-2.0300107,-0.7831631,0.07947264,-0.3556336,0.22701877,-0.21267942,1.2320985,0.63735676,-0.19718194,-1.5922189,0.79946804,3
1451,0.06415747,0.4106845,0.88863194,0.32938206,-1.4057534,-0.9207744,0.02637986,0.6156667,-0.14790736,-2.2868228,-1.3434174,0.14449023,-0.28174534,0.62665504,0.7393786,0.9629542,0.56769586,-0.072713345,-1.1911695,0.8362864,4
3058,0.17914674,-0.09784917,0.88391125,0.36964422,-0.14963558,-0.64334077,0.2401066,0.36776644,0.19096795,-0.89424,-1.2718899,-0.2832726,-0.85197455,-0.40231544,0.0075446134,1.8246037,-0.62943983,-1.2983241,-0.11751907,1.2323123,5
4522,-0.36605674,0.4477704,1.0625815,-0.012701902,-1.240546,-0.91541994,0.13067907,0.35085666,0.12379432,-1.0510621,-1.5572661,-0.29886845,-0.8625465,-0.43291757,-0.6197433,1.4137106,0.048558474,-1.735924,-1.1906096,2.0652518,6
1233,-0.8836249,1.2951458,0.27385572,-0.19457363,-0.5159031,-0.51394784,-0.028338214,0.8211437,-0.23377258,-1.4930685,-1.0082347,0.24026284,-0.7163985,0.46869075,-0.49912697,0.9154258,0.07206574,-1.5715925,-2.8175597,1.5842246,7
892,0.4361603,0.13181758,1.1039497,-0.024985977,-0.7885348,-0.5966018,0.29724458,0.90209556,-0.3969436,-1.6923943,-0.94204396,-0.5087486,-0.31972504,0.074346386,-0.8139051,1.3646532,-0.21276446,1.4815153,-0.03666912,0.15466604,8
2959,-0.2919753,0.32897758,-0.08664416,0.16004544,-0.49345872,1.0324128,0.28806657,0.5313528,0.002624004,-1.6469073,-1.0292548,-0.24852952,-0.43368828,0.23982486,0.6095094,0.77380925,0.55777335,0.9915325,-0.69880533,0.48026705,9
3607,-0.65702444,0.24882841,0.79505235,0.6762976,-0.09849986,-0.6295213,0.011527218,1.8280411,-0.5076662,-1.6313169,-0.7270611,0.39294904,0.5143968,1.0623256,0.85468096,1.9613916,0.22670932,-0.27738136,-0.11622797,0.36900288,10
5191,-0.8402959,0.2677753,-0.10018715,-0.21493813,-0.71039504,-0.45063472,0.05998793,0.045514435,0.07953241,-0.9310371,-1.4166657,-0.34130937,-1.1290182,0.5745833,-0.88048613,0.7756182,0.29586244,-1.1730527,-0.96358067,2.4398715,11
2733,-0.8005245,0.8586549,1.6789446,1.0676316,-2.0882316,-0.20077083,-0.2136448,0.30957565,-0.58919966,-0.6973366,-1.0908513,-0.05265147,0.050611813,0.7017608,0.1844591,0.008640341,0.79553473,0.029079046,-0.9097794,1.2764624,12
