cell,leiden_final
1,Endothelial
2,Smooth Muscle
3,Smooth Muscle
4,Smooth Muscle
5,Smooth Muscle
6,Smooth Muscle
7,Smooth Muscle
8,Telocyte
9,Smooth Muscle
10,Telocyte
11,Smooth Muscle
12,Smooth Muscle
13,ICC
14,ICC
15,Smooth Muscle
16,Smooth Muscle
17,Smooth Muscle
18,Stromal
19,Stromal
20,Smooth Muscle
21,Smooth Muscle
22,Smooth Muscle
23,Smooth Muscle
24,Smooth Muscle
25,Smooth Muscle
26,Smooth Muscle
27,Smooth Muscle
28,ICC
29,Smooth Muscle
30,Smooth Muscle
31,Smooth Muscle
32,Removed
33,Smooth Muscle
34,Removed
35,Smooth Muscle
36,Smooth Muscle
37,Smooth Muscle
38,Smooth Muscle
39,Macrophage + DC
40,Stromal
41,Telocyte
42,Smooth Muscle
43,Telocyte
44,Removed
45,Smooth Muscle
46,Smooth Muscle
47,Telocyte
48,Smooth Muscle
49,Smooth Muscle
50,Stromal
51,Smooth Muscle
52,Smooth Muscle
53,Smooth Muscle
54,Endothelial
55,Smooth Muscle
56,Smooth Muscle
57,Stromal
58,Stromal
59,Smooth Muscle
60,Stromal
61,Smooth Muscle
62,Smooth Muscle
63,Stromal
64,Stromal
65,Stromal
66,Smooth Muscle
67,Removed
68,Smooth Muscle
69,Removed
70,Smooth Muscle
71,ICC
72,Removed
73,Removed
74,Stromal
75,Smooth Muscle
76,Smooth Muscle
77,Smooth Muscle
78,Smooth Muscle
79,Smooth Muscle
80,Smooth Muscle
81,Stromal
82,Stromal
83,Macrophage + DC
84,Removed
85,Smooth Muscle
86,Removed
87,Smooth Muscle
88,Smooth Muscle
89,Macrophage + DC
90,Removed
91,Paneth
92,Paneth
93,Smooth Muscle
94,Smooth Muscle
95,Smooth Muscle
96,Stromal
97,Removed
98,Smooth Muscle
99,Paneth
100,Smooth Muscle
101,Smooth Muscle
102,Smooth Muscle
103,Smooth Muscle
104,Telocyte
105,Paneth
106,Smooth Muscle
107,Removed
108,Removed
109,Smooth Muscle
110,Paneth
111,Telocyte
112,Stromal
113,Removed
114,Stromal
115,Macrophage + DC
116,Stromal
117,Stromal
118,Removed
119,Removed
120,Smooth Muscle
121,Smooth Muscle
122,Macrophage + DC
123,B (Plasma)
124,Macrophage + DC
125,Smooth Muscle
126,Stromal
127,Stromal
128,Telocyte
129,Smooth Muscle
130,Removed
131,Paneth
132,Removed
133,T (CD4+)
134,B (Plasma)
135,Smooth Muscle
136,Smooth Muscle
137,Paneth
138,Smooth Muscle
139,Smooth Muscle
140,Smooth Muscle
141,Removed
142,Stromal
143,Paneth
144,Paneth
145,Paneth
146,Smooth Muscle
147,Paneth
148,Paneth
149,Telocyte
150,Smooth Muscle
151,ICC
152,Smooth Muscle
153,B (Plasma)
154,Paneth
155,Smooth Muscle
156,Stromal
157,Paneth
158,Paneth
159,Smooth Muscle
160,Endothelial
161,Stromal
162,Stromal
163,Smooth Muscle
164,Removed
165,Paneth
166,Removed
167,Smooth Muscle
168,Stromal
169,Smooth Muscle
170,Endothelial
171,Stromal
172,Stromal
173,Endothelial
174,Smooth Muscle
175,Smooth Muscle
176,Paneth
177,Paneth
178,Telocyte
179,Smooth Muscle
180,Myenteric Plexus
181,Smooth Muscle
182,T (CD4+)
183,Paneth
184,Paneth
185,Paneth
186,Smooth Muscle
187,Removed
188,Myenteric Plexus
189,Myenteric Plexus
190,Removed
191,Stromal
192,Removed
193,Paneth
194,ICC
195,Paneth
196,Paneth
197,Myenteric Plexus
198,Paneth
199,Smooth Muscle
200,Smooth Muscle
201,Myenteric Plexus
202,Stromal
203,Myenteric Plexus
204,Paneth
205,Removed
206,Removed
207,Telocyte
208,Paneth
209,Macrophage + DC
210,Myenteric Plexus
211,Stromal
212,Stem + TA
213,Enterocyte (Bottom Villus)
214,Myenteric Plexus
215,Stem + TA
216,Myenteric Plexus
217,Stromal
218,Paneth
219,Smooth Muscle
220,Smooth Muscle
221,Paneth
222,Smooth Muscle
223,Smooth Muscle
224,Removed
225,Macrophage + DC
226,Stromal
227,Paneth
228,Removed
229,Telocyte
230,Smooth Muscle
231,Tuft
232,Paneth
233,Stromal
234,Macrophage + DC
235,Macrophage + DC
236,Endothelial
237,Stromal
238,Removed
239,Smooth Muscle
240,Paneth
241,Telocyte
