cell_index,x,y,n_transcripts,density,elongation,area,avg_confidence
1,2072.20512820513,16.1282051282051,39,0.02159,5.082,1806,0.8647
2,2150.69090909091,41.6787878787879,165,0.02016,1.565,8186,0.9528
3,2079.84172661871,76.0719424460432,139,0.02279,1.82,6100,0.9762
4,2092.325,165.7625,80,0.01828,1.546,4376,0.9076
5,2242.4,18.28,75,0.02479,3.475,3025,0.8952
6,2236.16766467066,87.6467065868263,167,0.02409,1.265,6932,0.9618
7,2196.9170984456,165.165803108808,193,0.02091,1.181,9228,0.9621
8,2072.625,232,24,0.01379,3.676,1740,0.9424
9,2335.70103092784,24.6288659793814,97,0.01554,1.834,6242,0.8898
10,2017.6,310.75,20,0.03487,27.6,573.5,0.7751
11,2139.11764705882,254.317647058824,170,0.03229,3.284,5264,0.9879
12,2071.925,286.808333333333,120,0.02562,2.249,4683,0.9713
13,2371.39047619048,68.8476190476191,105,0.02176,2.139,4826,0.9994
14,2294.375,161.458333333333,48,0.02038,2.31,2355,0.97
15,2234.91891891892,265.990990990991,111,0.01496,1.572,7422,0.9179
16,2107.74647887324,376.920187793427,213,0.02849,1.598,7475,0.9838
17,2426.31313131313,46.1212121212121,99,0.01349,3.149,7338,0.9154
18,2167.85454545455,329.727272727273,55,0.01682,1.112,3270,0.8407
19,2280.96296296296,223.648148148148,54,0.02188,2.904,2468,0.9725
20,2007.64090909091,419.622727272727,220,0.01613,1.087,13640,0.9281
21,1979.98507462687,519.119402985075,134,0.02127,1.246,6299,0.9609
22,2369.00970873786,143.543689320388,103,0.01011,1.664,10190,0.9244
23,2317.9880239521,353.215568862275,167,0.0169,1.546,9880,0.971
24,2318.33333333333,243.104761904762,105,0.01729,3.852,6073,0.9899
25,2529.73793103448,51,145,0.01246,1.822,11640,0.9129
26,2065.84042553192,534.686170212766,188,0.01752,2.226,10730,0.9656
27,2222.46031746032,414.055555555556,126,0.0157,1.87,8027,0.9501
28,2244.34146341463,343.658536585366,82,0.03632,1.487,2258,0.9776
29,2536.07843137255,148.862745098039,51,0.008189,1.598,6228,0.8199
30,2379.33333333333,256.853333333333,75,0.01585,4.587,4732,0.8819
31,1972.416,611.552,125,0.01615,1.407,7738,0.8993
32,1930.46590909091,727.125,88,0.01103,1.13,7975,0.7489
33,2153.15135135135,486.286486486486,185,0.02451,1.464,7548,0.9597
34,2712.18,46.52,50,0.006891,1.696,7256,0.628
35,2038.46363636364,643.227272727273,110,0.01804,1.291,6096,0.9451
36,1926.20987654321,838.148148148148,162,0.0113,1.371,14340,0.8373
37,2407.27160493827,361.345679012346,81,0.0115,2.313,7042,0.8556
