cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,-8.084301,-1.8122524,6.1306186,5.6117964,-4.8726935,-5.194092,-3.6780162,2.3156636,6.5460258,-3.146564,-2.0825925,-10.470537,-4.887349,0.48016766,4.818634,0.9639314,-4.0256476,-0.5120662,12.324682,1.5759305,-2.937727,-1.5831567,-12.449445,-2.7958393,-8.024527,-10.909866,-2.5615196,10.095951,6.3977838,-0.34320903,2.4222543,-7.59426,-8.929487,2.5841732,-1.5805869,6.7859845,7.9587336,2.7381108,-1.0629363,1.3481852,2.7267427,6.3388166,-3.2975838,-3.059964,-1.2993228,-0.73546696,-0.5647884,0.97196275,-0.47206974,-3.1639125
2,-5.1757197,1.135588,9.970714,3.9812355,-6.545303,-0.33510506,0.99388254,1.1835524,5.891549,0.42179278,1.4389309,-9.3222685,-7.2006235,-1.7082131,3.8464434,0.35294613,-0.016141566,-2.3436303,8.155508,2.4762866,-0.4865428,-0.0797324,-8.441692,5.124162,-6.2837873,-14.961524,-1.4426134,12.657952,3.4723558,2.7407517,3.7329528,-0.11992207,-9.720027,3.516804,-0.8299988,4.5018215,6.7508054,3.6754558,2.5589573,1.1565698,-3.2097173,2.732963,-6.164745,-2.3194528,1.9758898,3.2018037,1.760761,0.7059267,2.179033,-5.9246335
3,-7.187663,-2.2248166,6.225707,5.5040274,-4.5159044,-5.2394013,-3.633149,2.8386002,6.1485367,-3.2713006,-2.074253,-10.363139,-4.9758964,0.6666344,4.780499,1.441118,-3.6251523,-0.60587424,12.040163,1.7034624,-3.2390962,-1.1678066,-11.84579,-2.8941138,-8.29787,-10.667171,-2.9160626,10.322325,6.014143,-0.6567747,2.7158573,-7.512946,-8.871426,3.1371603,-1.2106854,6.069673,7.4371176,2.383558,-0.70562464,1.4730668,3.363904,6.703024,-3.0764427,-3.157236,-0.6789654,-0.22861426,-0.5719188,1.379076,-1.003535,-3.173589
4,-7.576548,3.3528476,8.187695,2.8098264,-8.328138,-0.2214525,0.08264583,2.2770174,6.661313,-0.27773833,-0.84171534,-7.809037,-5.9997134,-3.0333753,3.4474614,-4.0636306,-5.2437153,1.3330077,11.996276,-1.5762295,-1.4865817,4.402782,-10.487939,0.85131305,-7.5050745,-14.11839,-3.1095808,10.428617,1.821654,2.2506037,2.0375397,-1.5533044,-10.702954,-0.07476557,-2.5566099,8.509351,9.503519,6.177304,-1.26874,-0.06661449,-0.07489067,5.8358717,-7.485168,-6.036666,5.085503,2.5511117,0.90888107,1.371057,3.8761604,-10.455416
5,-4.5908356,3.0738235,5.6605654,6.4670453,1.7033443,1.4941298,-1.5257785,-3.1097846,8.160504,-0.5082098,0.08169938,-10.557113,-4.0170856,-3.4480615,9.005626,0.0038249686,-2.63878,-0.039943382,11.6583185,-5.4329615,-1.2162648,-3.4728894,-6.0482745,5.9337087,-6.2633553,-13.480999,1.2518265,6.974524,0.118174635,1.5022969,5.3655977,1.8711425,-7.5412083,2.6054463,-2.8764307,4.441794,5.829156,1.1945571,1.8188645,1.5150707,-2.0363255,4.856127,-9.545611,-3.2630398,0.6872694,4.52819,-1.2814142,-1.6419567,1.875276,0.23149037
6,-5.4368978,-0.908734,8.836764,1.3310552,-9.505693,2.5208461,-0.72407836,1.7391942,3.3472831,1.4056374,-3.4318147,-11.749117,-4.532281,-1.4498765,7.3819485,0.4161268,-1.2975883,-0.10356698,11.631769,-1.4932153,-0.8292,-0.43281785,-7.964282,4.468322,-4.0213895,-10.40356,-3.1712415,7.993656,1.1950685,2.9950802,2.7496498,-2.9372854,-3.4833603,0.39762995,-6.647998,5.0125823,3.938209,3.1139038,-1.880753,-0.41091442,-3.718954,7.1681414,-7.387744,-6.008329,0.8231134,4.034266,-3.2075737,-2.9594786,4.856527,-6.373326
7,-5.0914564,-0.09460081,8.23224,2.1848907,-9.070424,-0.64986515,1.0855635,0.104469135,4.715097,-4.9176745,-2.2575986,-11.791317,-5.813669,1.6375809,5.164317,2.6456404,-2.1132658,3.7460961,9.190987,3.188112,-0.66980225,-2.645362,-9.509402,-5.6741185,-8.475826,-14.655157,-0.7573915,6.180948,0.8970146,0.98804444,3.1757753,-1.2770896,-5.177787,2.6027844,-3.8094404,9.762517,6.2645154,4.184591,-0.5416008,-1.0724485,-2.5660224,4.7625175,-4.7169113,-5.991816,-4.966727,-2.0127144,-0.3586977,-0.54878384,5.817497,-5.9871902
8,-7.9675393,1.6864047,7.279922,1.2112417,1.4047099,1.1604875,-0.9067884,-0.88498944,8.2247715,-2.4473488,-3.6082914,-9.09055,-7.355548,-4.2084775,3.6001978,-0.7900646,-5.4388285,-2.0299609,11.108111,-3.689353,-2.6130939,-10.969781,-4.8693953,-2.9765937,-7.7826247,-7.2780743,1.6999441,10.271144,1.7871506,0.11363848,4.976844,-3.6617212,-8.884976,2.9309533,-5.078841,3.6243985,6.4834476,0.51181316,1.4381067,0.13042589,-0.009789553,6.6001644,-7.4249034,-2.4228756,-3.5438237,-2.0261579,2.4107425,-3.5029135,1.238503,-2.6958525
9,-6.469495,1.7162985,10.974606,0.92802924,-1.8160801,-0.40314028,-2.316875,-3.016402,3.9439728,-3.3739007,-3.2980614,-11.857975,0.11703612,-4.274192,5.338358,0.820851,-4.453262,1.8668942,11.645175,-3.100018,-9.182188,-5.1211867,-10.021267,3.574946,-8.272102,-10.708876,4.735249,6.9635787,3.3014734,-1.3495512,6.491299,-3.0703971,-8.912005,6.2691684,-5.5374317,4.8883443,3.961674,0.8039998,0.7818814,3.8760574,-0.26271358,4.576771,-4.115198,-1.1079761,-1.262795,-4.3960166,-0.40720454,1.0696987,5.5055485,-3.0556316
10,-7.123632,0.49180275,8.175165,2.8546243,-4.3694615,-3.8266284,-1.3009695,3.268903,5.9738526,-3.9607422,-2.539334,-11.385364,-4.426172,0.79798704,5.7364616,1.7532432,-3.2525363,2.8840494,10.513277,-0.8962978,-1.2566621,-3.9113233,-5.556672,-0.40389618,-11.1517,-9.807774,-1.9601595,10.693974,5.842011,1.4846647,2.9696605,-7.4621787,-3.8982682,3.5252514,0.30215645,9.612683,6.8457956,0.81343615,3.3370075,-0.17198531,4.302878,7.0862346,-2.8484561,-2.6083941,-2.368129,-3.5151048,-0.49178904,-0.21177119,1.7321794,-5.3185782
